Name,FTF,BSF,BPFO,BPFI
6307,0.38,2.01,3.06,4.94
6309,0.38,2,3.06,4.94
6310,0.38,2.04,3.07,4.93
6311,0.38,2.04,3.07,4.93
6312,0.38,2.05,3.07,4.93
6313,0.38,2.04,3.07,4.93
6314,0.38,2.05,3.08,4.92
6315,0.39,2.06,3.08,4.92
6316,0.39,2.07,3.09,4.91
6317,0.39,2.08,3.09,4.91
6318,0.39,2.09,3.09,4.91
6319,0.39,2.1,3.1,4.9
6320,0.38,2.04,3.07,4.93
6321,0.38,2.05,3.08,4.92
6322,0.38,2.02,3.06,4.94
6324,0.39,2.19,3.13,4.87
6326,0.39,2.2,3.13,4.87
6328,0.39,2.2,3.13,4.87
6330,0.4,2.37,3.59,5.41
6332,0.4,2.36,3.19,4.81
6334,0.39,2.21,3.14,4.86
6336,0.4,2.35,3.58,5.42
6338,0.4,2.48,3.63,5.37
6340,0.4,2.34,3.58,5.42
6344,0.41,2.58,3.66,5.34
63300,0.35,1.47,2.08,3.92
63301,0.34,1.38,2.03,3.97
63302,0.37,1.73,2.56,4.44
63303,0.36,1.7,2.55,4.45
63304,0.37,1.76,2.57,4.43
633/22,0.37,1.76,2.57,4.43
63305,0.37,1.83,2.61,4.39
633/28,0.37,1.76,2.57,4.43
63306,0.39,2.07,3.09,4.91
633/32,0.38,2.01,3.06,4.94
63307,0.38,2.01,3.06,4.94
63308,0.38,2.04,3.07,4.93
63309,0.38,2,3.06,4.94
63310,0.38,2.04,3.07,4.93
63311,0.38,2.04,3.07,4.93
63312,0.38,2.05,3.07,4.93
63313,0.38,2.04,3.07,4.93
63314,0.38,2.05,3.08,4.92
63316,0.39,2.07,3.09,4.91
63317,0.39,2.08,3.09,4.91
63318,0.39,2.09,3.09,4.91
63319,0.39,2.1,3.1,4.9
63320,0.38,2.04,3.07,4.93
63321,0.38,2.05,3.08,4.92
63322,0.38,2.02,3.06,4.94
63324,0.39,2.19,3.13,4.87
63326,0.39,2.2,3.13,4.87
63328,0.39,2.2,3.13,4.87
63330,0.4,2.37,3.59,5.41
63332,0.4,2.36,3.19,4.81
63334,0.39,2.21,3.14,4.86
63336,0.4,2.35,3.58,5.42
63338,0.4,2.48,3.63,5.37
63340,0.4,2.34,3.58,5.42
63344,0.41,2.58,3.66,5.34
6800,0.42,2.98,4.6,6.4
6801,0.43,3.42,5.14,6.86
6802,0.44,4.06,6.15,7.85
6803,0.45,4.49,7.12,8.88
6804,0.43,3.67,5.63,7.37
6805,0.44,4.4,6.66,8.34
6806,0.45,5.12,8.13,9.87
6807,0.46,5.85,9.15,10.85
6808,0.46,6.57,10.17,11.83
6809,0.46,6.46,10.15,11.85
6810,0.47,7.22,11.17,12.83
6811,0.46,6.65,10.18,11.82
6812,0.46,6.19,9.66,11.34
6813,0.46,6.73,10.19,11.81
6814,0.47,7.19,11.17,12.83
6815,0.47,7.64,12.15,13.85
6816,0.47,8.1,12.67,14.33
6817,0.46,6.79,10.66,12.34
6818,0.47,7.14,11.16,12.84
6819,0.47,7.5,11.67,13.33
6820,0.47,7.85,12.18,13.82
6821,0.47,8.2,12.68,14.32
6822,0.47,7.14,12.09,13.91
6824,0.47,7.71,12.63,14.37
6826,0.47,7.12,11.16,12.84
6830,0.47,7.11,11.16,12.84
6832,0.47,7.54,11.67,13.33
6834,0.46,7.1,11.16,12.84
6836,0.47,7.47,11.67,13.33
6838,0.46,7.1,11.16,12.84
6840,0.47,7.44,11.66,13.34
6844,0.47,8.1,12.67,14.33
6848,0.47,7.7,12.16,13.84
6852,0.47,7.92,12.18,13.82
6856,0.47,7.32,11.18,12.82
6860,0.46,7.11,10.69,12.31
6864,0.47,7.53,11.67,13.33
6868,0.47,7.95,12.19,13.81
6872,0.47,7.84,11.71,13.29
6876,0.46,7.1,10.69,12.31
6860,0.47,7.43,11.2,12.8
6884,0.47,7.37,11.66,13.34
6888,0.47,7.68,12.16,13.84
6892,0.46,6.79,10.19,11.81
6896,0.46,7.05,10.69,12.31
68/500,0.47,7.31,11.18,12.82
68/530,0.47,7.71,11.69,13.31
68/560,0.47,8.11,12.2,13.8
