Name,FTF,BSF,BPFO,BPFI
NU208,0.42,2.92,5.42,7.58
NU209,0.42,3.18,5.92,8.08
NU210,0.43,3.45,6.87,9.13
NU211,0.43,3.45,6.86,9.14
NU212,0.43,3.5,6.88,9.12
NU213,0.43,3.5,6.88,9.12
NU214,0.43,3.69,7.37,9.63
NU215,0.43,3.59,7.34,9.66
NU216,0.43,3.61,7.35,9.65
NU217,0.43,3.62,7.35,9.65
NU218,0.43,3.4,6.85,9.15
NU219,0.43,3.41,6.85,9.15
NU220,0.43,3.43,6.86,9.14
NU221,0.43,3.45,6.86,9.14
NU222,0.43,3.31,6.82,9.18
NU224,0.43,3.42,7.28,9.72
NU226,0.43,3.69,7.8,10.2
NU228,0.43,3.69,7.8,10.2
NU230,0.43,3.68,7.8,10.2
NU232,0.43,3.68,7.8,10.2
NU234,0.43,3.69,7.8,10.2
NU236,0.44,3.84,8.28,10.72
NU238,0.44,3.83,8.28,10.72
NU240,0.44,3.83,8.28,10.72
NU244,0.44,3.81,8.27,10.73
NU248,0.43,3.71,8.24,10.76
NU252,0.43,3.63,8.22,10.78
NU256,0.44,3.84,8.72,11.28
NU260,0.43,3.68,8.23,10.77
NU264,0.43,3.68,8.23,10.77
NU204E,0.39,2.16,4.29,6.71
NU205E,0.4,2.51,5.25,7.75
NU206E,0.4,2.49,5.24,7.76
NU207E,0.41,2.61,5.71,8.29
NU208E,0.41,2.66,5.73,8.27
NU209E,0.42,2.89,6.24,8.76
NU211E,0.42,3.18,6.77,9.23
NU212E,0.42,2.99,6.7,9.3
NU213E,0.42,3.04,6.72,9.28
NU214E,0.42,3.21,7.21,9.79
NU215E,0.43,3.38,7.7,10.3
NU216E,0.43,3.41,7.71,10.29
NU217E,0.42,3.22,7.21,9.79
NU218E,0.42,3.24,7.22,9.78
NU219E,0.42,3.1,7.16,9.84
NU220E,0.42,3.13,7.17,9.83
NU222E,0.42,3.19,7.2,9.8
NU224E,0.42,3.18,7.2,9.8
NU226E,0.42,3.16,7.19,9.81
NU228E,0.43,3.45,8.15,10.85
NU230E,0.43,3.46,8.16,10.84
NU232E,0.43,3.48,8.16,10.84
NU234E,0.43,3.3,7.67,10.33
NU236E,0.43,3.44,8.15,10.85
NU238E,0.43,3.46,8.15,10.85
NU240E,0.43,3.47,8.16,10.84
NU2204,0.4,2.49,4.44,6.56
NU2205,0.42,2.89,5.41,7.59
NU2206,0.42,2.99,5.44,7.56
NU2207,0.41,2.85,5.39,7.61
NU2208,0.42,2.92,5.42,7.58
NU2209,0.42,3.18,5.92,8.08
NU2210,0.43,3.45,6.87,9.13
NU2211,0.43,3.45,6.86,9.14
NU2212,0.43,3.5,6.88,9.12
NU2213,0.43,3.5,6.88,9.12
NU2214,0.43,3.69,7.37,9.63
NU2215,0.43,3.59,7.34,9.66
NU2216,0.43,3.61,7.35,9.65
NU2217,0.43,3.62,7.35,9.65
NU2218,0.43,3.4,6.85,9.15
NU2219,0.43,3.41,6.85,9.15
NU2220,0.43,3.43,6.86,9.14
NU2222,0.43,3.31,6.82,9.18
NU2224,0.43,3.42,7.28,9.72
NU2226,0.43,3.69,7.8,10.2
NU2228,0.43,3.69,7.8,10.2
NU2230,0.43,3.68,7.8,10.2
NU2234,0.43,3.69,7.8,10.2
NU2236,0.44,3.84,8.28,10.72
NU2238,0.44,3.83,8.28,10.72
NU2240,0.44,3.83,8.28,10.72
NU2244,0.44,3.81,8.27,10.73
NU2248,0.43,3.71,8.24,10.76
NU2252,0.43,3.63,8.22,10.78
NU2256,0.44,3.84,8.72,11.28
NU2260,0.43,3.68,8.23,10.77
NU2264,0.43,3.68,8.23,10.77
NU2204E,0.39,2.16,4.29,6.71
NU2205E,0.4,2.51,5.25,7.75
NU2206E,0.4,2.49,5.24,7.76
NU2207E,0.41,2.61,5.71,8.29
NU2208E,0.41,2.66,5.73,8.27
NU2209E,0.42,2.89,6.24,8.76
NU2210E,0.42,3.13,6.75,9.25
NU2211E,0.42,3.18,6.77,9.23
NU2212E,0.42,2.99,6.7,9.3
NU2213E,0.42,3.04,6.72,9.28
NU2214E,0.42,3.21,7.21,9.79
NU2215E,0.43,3.38,7.7,10.3
NU2216E,0.43,3.41,7.71,10.29
NU2217E,0.42,3.22,7.21,9.79
NU2218E,0.42,3.24,7.22,9.78
NU2219E,0.42,3.1,7.16,9.84
NU2220E,0.42,3.13,7.17,9.83
NU2222E,0.42,3.19,7.2,9.8
NU2224E,0.42,3.18,7.2,9.8
NU2226E,0.42,3.15,7.18,9.82
NU2228E,0.43,3.45,8.15,10.85
NU2230E,0.43,3.46,8.16,10.84
NU2232E,0.43,3.26,7.65,10.35
NU2234E,0.42,3.12,7.17,9.83
NU2236E,0.42,3.25,7.65,10.35
NU2238E,0.43,3.28,7.66,10.34
NU2240E,0.43,3.3,7.66,10.34
NU2304,0.39,2.18,3.91,6.09
NU2305,0.4,2.34,4.38,6.62
NU2306,0.4,2.51,4.44,6.56
NU2307,0.4,2.5,4.85,7.15
NU2308,0.41,2.64,4.9,7.1
NU2310,0.41,2.57,4.88,7.12
NU2311,0.4,2.48,4.83,7.17
NU2312,0.41,2.55,4.86,7.14
NU2313,0.41,2.6,4.89,7.11
NU2314,0.41,2.66,5.32,7.68
NU2315,0.41,2.58,5.28,7.72
NU2316,0.41,2.75,5.36,7.64
NU2317,0.41,2.66,5.32,7.68
NU2318,0.41,2.71,5.34,7.66
NU2319,0.41,2.75,5.77,8.23
NU2320,0.41,2.72,5.76,8.24
NU2322,0.41,2.64,5.72,8.28
NU2324,0.41,2.54,5.27,7.73
NU2326,0.41,2.6,5.7,8.3
NU2328,0.41,2.66,5.73,8.27
NU2320,0.41,2.71,5.75,8.25
NU2332,0.42,2.89,6.24,8.76
NU2334,0.42,2.86,6.23,8.77
NU2336,0.41,2.83,6.21,8.79
NU2338,0.42,2.87,6.23,8.77
NU2340,0.42,3.02,6.29,8.71
NU2344,0.42,2.95,6.27,8.73
NU2348,0.42,3,6.7,9.3
NU2352,0.42,3.05,6.72,9.28
NU2356,0.42,3.08,6.73,9.27
NU2304E,0.38,1.91,3.77,6.23
NU2305E,0.39,2.09,4.25,6.75
NU2306E,0.39,2.23,4.72,7.28
NU2307E,0.4,2.32,5.16,7.84
NU2308E,0.39,2.25,4.73,7.27
NU2309E,0.4,2.35,5.17,7.83
NU2310E,0.4,2.44,5.22,7.78
NU2311E,0.4,2.36,5.18,7.82
NU2312E,0.4,2.43,5.21,7.79
NU2313E,0.4,2.36,5.18,7.82
NU2314E,0.4,2.42,5.21,7.79
NU2315E,0.4,2.38,5.19,7.81
NU2316E,0.4,2.42,5.21,7.79
NU2317E,0.4,2.48,5.64,8.36
NU2318E,0.4,2.43,5.21,7.79
NU2319E,0.41,2.58,5.69,8.31
NU2320E,0.4,2.39,5.2,7.8
NU2324E,0.4,2.43,5.21,7.79
NU2326E,0.4,2.49,5.65,8.35
NU2328E,0.41,2.55,5.68,8.32
NU2330E,0.41,2.55,5.68,8.32
NU2332E,0.4,2.53,5.67,8.33
NU304,0.39,2.18,3.91,6.09
NU305,0.4,2.34,4.38,6.62
NU306,0.4,2.51,4.44,6.56
NU307,0.4,2.5,4.85,7.15
NU308,0.41,2.64,4.9,7.1
NU309,0.4,2.49,4.84,7.16
NU310,0.41,2.57,4.88,7.12
NU311,0.4,2.48,4.83,7.17
NU312,0.41,2.55,4.86,7.14
NU313,0.41,2.6,4.89,7.11
NU314,0.41,2.67,5.32,7.68
NU315,0.41,2.58,5.28,7.72
NU316,0.41,2.75,5.77,8.23
NU317,0.41,2.66,5.32,7.68
NU318,0.41,2.71,5.34,7.66
NU319,0.41,2.75,5.77,8.23
NU320,0.41,2.72,5.76,8.24
NU321,0.41,2.66,5.73,8.27
NU322,0.41,2.64,5.72,8.28
NU324,0.41,2.54,5.27,7.73
NU326,0.41,2.6,5.7,8.3
NU328,0.41,2.66,5.73,8.27
NU330,0.41,2.71,5.75,8.25
NU332,0.42,2.89,6.24,8.76
NU334,0.42,2.86,6.23,8.77
NU336,0.41,2.83,6.21,8.79
NU338,0.42,2.87,6.23,8.77
NU340,0.42,3.02,6.29,8.71
NU344,0.42,2.95,6.27,8.73
NU348,0.42,3,6.7,9.3
NU352,0.42,3.05,6.72,9.28
NU356,0.42,3.08,6.73,9.27
NU304E,0.38,1.91,3.77,6.23
NU305E,0.39,2.09,4.25,6.75
NU306E,0.39,2.23,4.72,7.28
NU307E,0.4,2.32,5.16,7.84
NU308E,0.39,2.25,4.73,7.27
NU310E,0.4,2.44,5.22,7.78
NU311E,0.4,2.36,5.18,7.82
NU312E,0.4,2.43,5.21,7.79
NU313E,0.4,2.36,5.18,7.82
NU314E,0.4,2.42,5.21,7.79
NU315E,0.4,2.38,5.19,7.81
NU316E,0.4,2.42,5.21,7.79
NU317E,0.4,2.48,5.64,8.36
NU318E,0.4,2.43,5.21,7.79
NU319E,0.41,2.58,5.69,8.31
NU320E,0.4,2.39,5.2,7.8
NU322E,0.4,2.51,5.66,8.34
NU324E,0.4,2.43,5.21,7.79
NU326E,0.4,2.49,5.65,8.35
NU328E,0.41,2.55,5.68,8.32
NU330E,0.41,2.55,5.68,8.32
NU332E,0.4,2.53,5.67,8.33
NU405,0.38,2,3.44,5.56
NU406,0.38,1.99,3.43,5.57
NU407,0.39,2.16,3.9,6.1
NU408,0.39,2.09,3.87,6.13
NU409,0.39,2.18,4.3,6.7
NU410,0.39,2.16,4.29,6.71
NU411,0.4,2.33,4.37,6.63
NU412,0.4,2.28,4.35,6.65
NU413,0.4,2.34,4.77,7.23
NU414,0.4,2.32,4.76,7.24
NU415,0.39,2.26,4.34,6.66
NU416,0.39,2.23,4.32,6.68
NU417,0.39,2.16,4.29,6.71
NU418,0.39,2.21,4.31,6.69
NU419,0.4,2.36,4.78,7.22
NU420,0.4,2.28,4.74,7.26
NU421,0.4,2.3,4.75,7.25
NU422,0.4,2.34,4.77,7.23
NU424,0.4,2.28,4.74,7.26
NU426,0.39,2.24,4.72,7.28
NU438,0.4,2.3,4.75,7.25
NU430,0.4,2.45,5.22,7.78
N1005,0.42,3.2,5.93,8.07
N1006,0.43,3.47,6.87,9.13
N1007,0.43,3.68,7.36,9.64
N1008,0.44,3.8,7.84,10.16
N1009,0.44,3.94,7.88,10.12
N1010,0.44,4.28,8.4,10.6
N1011,0.44,4.49,8.9,11.1
N1012,0.45,4.81,9.87,12.13
N1013,0.45,5.12,10.39,12.61
N1014,0.44,4.45,8.89,11.11
N1015,0.45,4.71,9.4,11.6
N1016,0.45,4.61,9.37,11.63
N1017,0.45,4.84,9.87,12.13
N1018,0.45,4.74,9.85,12.15
N1019,0.45,4.95,10.35,12.65
N1020,0.45,5.16,10.85,13.15
N1021,0.45,5.03,10.37,12.63
N1022,0.45,4.62,9.82,12.18
N1024,0.45,4.95,10.8,13.2
N1026,0.45,4.8,10.32,12.68
N1028,0.45,5.1,10.83,13.17
N1030,0.45,5.16,11.3,13.7
N1032,0.45,4.95,10.8,13.2
N1034,0.45,4.84,10.32,12.68
N1036,0.45,4.55,9.8,12.2
N1038,0.45,4.75,10.3,12.7
N1040,0.45,4.86,10.78,13.22
N1044,0.45,4.61,10.27,12.73
N1048,0.45,4.95,11.25,13.75
N1052,0.45,4.8,10.76,13.24
N1056,0.45,5.1,11.29,13.71
N1060,0.45,4.7,10.29,12.71
N1064,0.45,4.95,10.8,13.2
N1068,0.45,4.73,10.3,12.7
N1072,0.45,4.95,10.8,13.2
N1076,0.45,5.18,11.3,13.7
N1080,0.45,4.95,10.8,13.2
N1084,0.45,5.15,11.3,13.7
N1088,0.45,5.19,11.31,13.69
N1092,0.45,5.23,11.32,13.68
N10/500,0.46,5.61,12.31,14.69
N204,0.4,2.49,4.44,6.56
N205,0.42,2.89,5.41,7.59
N206,0.42,2.99,5.44,7.56
N207,0.41,2.85,5.39,7.61
N208,0.42,2.92,5.42,7.58
N209,0.42,3.18,5.92,8.08
N210,0.43,3.45,6.87,9.13
N211,0.43,3.45,6.86,9.14
N212,0.43,3.5,6.88,9.12
N213,0.43,3.5,6.88,9.12
N214,0.43,3.69,7.37,9.63
N215,0.43,3.59,7.34,9.66
N216,0.43,3.61,7.35,9.65
N217,0.43,3.62,7.35,9.65
N218,0.43,3.4,6.85,9.15
N219,0.43,3.41,6.85,9.15
N220,0.43,3.43,6.86,9.14
N221,0.43,3.45,6.86,9.14
N222,0.43,3.31,6.82,9.18
N224,0.43,3.42,7.28,9.72
N226,0.43,3.69,7.8,10.2
N228,0.43,3.69,7.8,10.2
N230,0.43,3.68,7.8,10.2
N232,0.43,3.68,7.8,10.2
N234,0.43,3.69,7.8,10.2
N236,0.44,3.84,8.28,10.72
N238,0.44,3.83,8.28,10.72
N240,0.44,3.83,8.28,10.72
N244,0.44,3.81,8.27,10.73
N248,0.43,3.71,8.24,10.76
N252,0.43,3.63,8.22,10.78
N256,0.44,3.84,8.72,11.28
N260,0.43,3.68,8.23,10.77
N264,0.43,3.68,8.23,10.77
N204E,0.39,2.16,4.29,6.71
N205E,0.4,2.51,5.25,7.75
N206E,0.4,2.49,5.24,7.76
N207E,0.41,2.61,5.71,8.29
N208E,0.41,2.66,5.73,8.27
N209E,0.42,2.89,6.24,8.76
N210E,0.42,3.13,6.75,9.25
N212E,0.42,2.99,6.7,9.3
N213E,0.42,3.04,6.72,9.28
N214E,0.42,3.21,7.21,9.79
N215E,0.43,3.38,7.7,10.3
N216E,0.43,3.41,7.71,10.29
N217E,0.42,3.22,7.21,9.79
N218E,0.42,3.24,7.22,9.78
N219E,0.42,3.1,7.16,9.84
N220E,0.42,3.13,7.17,9.83
N222E,0.42,3.19,7.2,9.8
N224E,0.42,3.18,7.2,9.8
N226E,0.42,3.16,7.19,9.81
N228E,0.43,3.45,8.15,10.85
N230E,0.43,3.46,8.16,10.84
N232E,0.43,3.48,8.16,10.84
N234E,0.43,3.3,7.67,10.33
N236E,0.43,3.44,8.15,10.85
N238E,0.43,3.46,8.15,10.85
N240E,0.43,3.47,8.16,10.84
N2204,0.4,2.49,4.44,6.56
N2205,0.42,2.89,5.41,7.59
N2206,0.42,2.99,5.44,7.56
N2207,0.41,2.85,5.39,7.61
N2208,0.42,2.92,5.42,7.58
N2209,0.42,3.18,5.92,8.08
N2210,0.43,3.45,6.87,9.13
N2211,0.43,3.45,6.86,9.14
N2212,0.43,3.5,6.88,9.12
N2213,0.43,3.5,6.88,9.12
N2214,0.43,3.69,7.37,9.63
N2215,0.43,3.59,7.34,9.66
N2216,0.43,3.61,7.35,9.65
N2217,0.43,3.62,7.35,9.65
N2218,0.43,3.4,6.85,9.15
N2219,0.43,3.41,6.85,9.15
N2220,0.43,3.43,6.86,9.14
N2222,0.43,3.31,6.82,9.18
N2224,0.43,3.42,7.28,9.72
N2226,0.43,3.69,7.8,10.2
N2228,0.43,3.69,7.8,10.2
N2230,0.43,3.68,7.8,10.2
N2232,0.43,3.68,7.8,10.2
N2236,0.44,3.84,8.28,10.72
N2238,0.44,3.83,8.28,10.72
N2240,0.44,3.83,8.28,10.72
N2244,0.44,3.81,8.27,10.73
N2248,0.43,3.71,8.24,10.76
N2252,0.43,3.63,8.22,10.78
N2256,0.44,3.84,8.72,11.28
N2260,0.43,3.68,8.23,10.77
N2264,0.43,3.68,8.23,10.77
N2204E,0.39,2.16,4.29,6.71
N2205E,0.4,2.51,5.25,7.75
N2206E,0.4,2.49,5.24,7.76
N2207E,0.41,2.61,5.71,8.29
N2208E,0.41,2.66,5.73,8.27
N2209E,0.42,2.89,6.24,8.76
N2210E,0.42,3.13,6.75,9.25
N2211E,0.42,3.18,6.77,9.23
N2212E,0.42,2.99,6.7,9.3
N2213E,0.42,3.04,6.72,9.28
N2214E,0.42,3.21,7.21,9.79
N2215E,0.43,3.38,7.7,10.3
N2216E,0.43,3.41,7.71,10.29
N2217E,0.42,3.22,7.21,9.79
N2218E,0.42,3.24,7.22,9.78
N2219E,0.42,3.1,7.16,9.84
N2220E,0.42,3.13,7.17,9.83
N2222E,0.42,3.19,7.2,9.8
N2224E,0.42,3.18,7.2,9.8
N2226E,0.42,3.15,7.18,9.82
N2228E,0.43,3.45,8.15,10.85
N2230E,0.43,3.46,8.16,10.84
N2232E,0.43,3.26,7.65,10.35
N2234E,0.42,3.12,7.17,9.83
N2236E,0.42,3.25,7.65,10.35
N2238E,0.43,3.28,7.66,10.34
N2240E,0.43,3.3,7.66,10.34
N2304,0.39,2.18,3.91,6.09
N2305,0.4,2.34,4.38,6.62
N2306,0.4,2.51,4.44,6.56
N2307,0.4,2.5,4.85,7.15
N2308,0.41,2.64,4.9,7.1
N2309,0.4,2.49,4.84,7.16
N2311,0.4,2.48,4.83,7.17
N2312,0.41,2.55,4.86,7.14
N2313,0.41,2.6,4.89,7.11
N2314,0.41,2.66,5.32,7.68
N2315,0.41,2.58,5.28,7.72
N2316,0.41,2.75,5.36,7.64
N2317,0.41,2.66,5.32,7.68
N2318,0.41,2.71,5.34,7.66
N2319,0.41,2.75,5.77,8.23
N2320,0.41,2.72,5.76,8.24
N2322,0.41,2.64,5.72,8.28
N2324,0.41,2.54,5.27,7.73
N2326,0.41,2.6,5.7,8.3
N2328,0.41,2.66,5.73,8.27
N2320,0.41,2.71,5.75,8.25
N2332,0.42,2.89,6.24,8.76
N2334,0.42,2.86,6.23,8.77
N2336,0.41,2.83,6.21,8.79
N2338,0.42,2.87,6.23,8.77
N2340,0.42,3.02,6.29,8.71
N2344,0.42,2.95,6.27,8.73
N2348,0.42,3,6.7,9.3
N2352,0.42,3.05,6.72,9.28
N2356,0.42,3.08,6.73,9.27
N2304E,0.38,1.91,3.77,6.23
N2305E,0.39,2.09,4.25,6.75
N2306E,0.39,2.23,4.72,7.28
N2307E,0.4,2.32,5.16,7.84
N2308E,0.39,2.25,4.73,7.27
N2309E,0.4,2.35,5.17,7.83
N2310E,0.4,2.44,5.22,7.78
N2311E,0.4,2.36,5.18,7.82
N2312E,0.4,2.43,5.21,7.79
N2313E,0.4,2.36,5.18,7.82
N2314E,0.4,2.42,5.21,7.79
N2315E,0.4,2.38,5.19,7.81
N2316E,0.4,2.42,5.21,7.79
N2317E,0.4,2.48,5.64,8.36
N2318E,0.4,2.43,5.21,7.79
N2319E,0.41,2.58,5.69,8.31
N2320E,0.4,2.39,5.2,7.8
N2322E,0.4,2.51,5.66,8.34
N2326E,0.4,2.49,5.65,8.35
N2328E,0.41,2.55,5.68,8.32
N2330E,0.41,2.55,5.68,8.32
N2332E,0.4,2.53,5.67,8.33
N304,0.39,2.18,3.91,6.09
N305,0.4,2.34,4.38,6.62
N306,0.4,2.51,4.44,6.56
N307,0.4,2.5,4.85,7.15
N308,0.41,2.64,4.9,7.1
N309,0.4,2.49,4.84,7.16
N310,0.41,2.57,4.88,7.12
N311,0.4,2.48,4.83,7.17
N312,0.41,2.55,4.86,7.14
N313,0.41,2.6,4.89,7.11
N314,0.41,2.67,5.32,7.68
N315,0.41,2.58,5.28,7.72
N316,0.41,2.75,5.77,8.23
N317,0.41,2.66,5.32,7.68
N318,0.41,2.71,5.34,7.66
N319,0.41,2.75,5.77,8.23
N320,0.41,2.72,5.76,8.24
N321,0.41,2.66,5.73,8.27
N322,0.41,2.64,5.72,8.28
N324,0.41,2.54,5.27,7.73
N326,0.41,2.6,5.7,8.3
N328,0.41,2.66,5.73,8.27
N330,0.41,2.71,5.75,8.25
N332,0.42,2.89,6.24,8.76
N334,0.42,2.86,6.23,8.77
N336,0.41,2.83,6.21,8.79
N338,0.42,2.87,6.23,8.77
N340,0.42,3.02,6.29,8.71
N344,0.42,2.95,6.27,8.73
N348,0.42,3,6.7,9.3
N352,0.42,3.05,6.72,9.28
N356,0.42,3.08,6.73,9.27
N304E,0.38,1.91,3.77,6.23
N305E,0.39,2.09,4.25,6.75
N306E,0.39,2.23,4.72,7.28
N307E,0.4,2.32,5.16,7.84
N308E,0.39,2.25,4.73,7.27
N309E,0.4,2.35,5.17,7.83
N311E,0.4,2.36,5.18,7.82
N312E,0.4,2.43,5.21,7.79
N313E,0.4,2.36,5.18,7.82
N314E,0.4,2.42,5.21,7.79
N315E,0.4,2.38,5.19,7.81
N316E,0.4,2.42,5.21,7.79
N317E,0.4,2.48,5.64,8.36
N318E,0.4,2.43,5.21,7.79
N319E,0.41,2.58,5.69,8.31
N320E,0.4,2.39,5.2,7.8
N322E,0.4,2.51,5.66,8.34
N324E,0.4,2.43,5.21,7.79
N326E,0.4,2.49,5.65,8.35
N328E,0.41,2.55,5.68,8.32
N330E,0.41,2.55,5.68,8.32
N332E,0.4,2.53,5.67,8.33
N405,0.38,2,3.44,5.56
N406,0.38,1.99,3.43,5.57
N407,0.39,2.16,3.9,6.1
N408,0.39,2.09,3.87,6.13
N409,0.39,2.18,4.3,6.7
N410,0.39,2.16,4.29,6.71
N411,0.4,2.33,4.37,6.63
N412,0.4,2.28,4.35,6.65
N413,0.4,2.34,4.77,7.23
N414,0.4,2.32,4.76,7.24
N415,0.39,2.26,4.34,6.66
N416,0.39,2.23,4.32,6.68
N417,0.39,2.16,4.29,6.71
N418,0.39,2.21,4.31,6.69
N419,0.4,2.36,4.78,7.22
N420,0.4,2.28,4.74,7.26
N421,0.4,2.3,4.75,7.25
N422,0.4,2.34,4.77,7.23
N424,0.4,2.28,4.74,7.26
N426,0.39,2.24,4.72,7.28
N438,0.4,2.3,4.75,7.25
N430,0.4,2.45,5.22,7.78
NJ1005,0.42,3.2,5.93,8.07
NJ1006,0.43,3.47,6.87,9.13
NJ1007,0.43,3.68,7.36,9.64
NJ1008,0.44,3.8,7.84,10.16
NJ1010,0.44,4.28,8.4,10.6
NJ1011,0.44,4.49,8.9,11.1
NJ1012,0.45,4.81,9.87,12.13
NJ1013,0.45,5.12,10.39,12.61
NJ1014,0.44,4.45,8.89,11.11
NJ1015,0.45,4.71,9.4,11.6
NJ1016,0.45,4.61,9.37,11.63
NJ1017,0.45,4.84,9.87,12.13
NJ1018,0.45,4.74,9.85,12.15
NJ1019,0.45,4.95,10.35,12.65
NJ1020,0.45,5.16,10.85,13.15
NJ1021,0.45,5.03,10.37,12.63
NJ1022,0.45,4.62,9.82,12.18
NJ1024,0.45,4.95,10.8,13.2
NJ1026,0.45,4.8,10.32,12.68
NJ1028,0.45,5.1,10.83,13.17
NJ1030,0.45,5.16,11.3,13.7
NJ1032,0.45,4.95,10.8,13.2
NJ1034,0.45,4.84,10.32,12.68
NJ1036,0.45,4.55,9.8,12.2
NJ1038,0.45,4.75,10.3,12.7
NJ1040,0.45,4.86,10.78,13.22
NJ1044,0.45,4.61,10.27,12.73
NJ1048,0.45,4.95,11.25,13.75
NJ1052,0.45,4.8,10.76,13.24
NJ1056,0.45,5.1,11.29,13.71
NJ1060,0.45,4.7,10.29,12.71
NJ1064,0.45,4.95,10.8,13.2
NJ1068,0.45,4.73,10.3,12.7
NJ1072,0.45,4.95,10.8,13.2
NJ1076,0.45,5.18,11.3,13.7
NJ1080,0.45,4.95,10.8,13.2
NJ1084,0.45,5.15,11.3,13.7
NJ1088,0.45,5.19,11.31,13.69
NJ1092,0.45,5.23,11.32,13.68
NJ1096,0.45,5.42,11.81,14.19
NJ10/500,0.46,5.61,12.31,14.69
NJ204,0.4,2.49,4.44,6.56
NJ205,0.42,2.89,5.41,7.59
NJ206,0.42,2.99,5.44,7.56
NJ207,0.41,2.85,5.39,7.61
NJ208,0.42,2.92,5.42,7.58
NJ210,0.43,3.45,6.87,9.13
NJ211,0.43,3.45,6.86,9.14
NJ212,0.43,3.5,6.88,9.12
NJ213,0.43,3.5,6.88,9.12
NJ214,0.43,3.69,7.37,9.63
NJ215,0.43,3.59,7.34,9.66
NJ216,0.43,3.61,7.35,9.65
NJ217,0.43,3.62,7.35,9.65
NJ218,0.43,3.4,6.85,9.15
NJ219,0.43,3.41,6.85,9.15
NJ220,0.43,3.43,6.86,9.14
NJ221,0.43,3.45,6.86,9.14
NJ222,0.43,3.31,6.82,9.18
NJ224,0.43,3.42,7.28,9.72
NJ226,0.43,3.69,7.8,10.2
NJ228,0.43,3.69,7.8,10.2
NJ230,0.43,3.68,7.8,10.2
NJ232,0.43,3.68,7.8,10.2
NJ234,0.43,3.69,7.8,10.2
NJ236,0.44,3.84,8.28,10.72
NJ238,0.44,3.83,8.28,10.72
NJ240,0.44,3.83,8.28,10.72
NJ244,0.44,3.81,8.27,10.73
NJ248,0.43,3.71,8.24,10.76
NJ252,0.43,3.63,8.22,10.78
NJ256,0.44,3.84,8.72,11.28
NJ260,0.43,3.68,8.23,10.77
NJ264,0.43,3.68,8.23,10.77
NJ204E,0.39,2.16,4.29,6.71
NJ205E,0.4,2.51,5.25,7.75
NJ206E,0.4,2.49,5.24,7.76
NJ207E,0.41,2.61,5.71,8.29
NJ208E,0.41,2.66,5.73,8.27
NJ209E,0.42,2.89,6.24,8.76
NJ210E,0.42,3.13,6.75,9.25
NJ211E,0.42,3.18,6.77,9.23
NJ212E,0.42,2.99,6.7,9.3
NJ213E,0.42,3.04,6.72,9.28
NJ214E,0.42,3.21,7.21,9.79
NJ215E,0.43,3.38,7.7,10.3
NJ216E,0.43,3.41,7.71,10.29
NJ217E,0.42,3.22,7.21,9.79
NJ219E,0.42,3.1,7.16,9.84
NJ220E,0.42,3.13,7.17,9.83
NJ222E,0.42,3.19,7.2,9.8
NJ224E,0.42,3.18,7.2,9.8
NJ226E,0.42,3.16,7.19,9.81
NJ228E,0.43,3.45,8.15,10.85
NJ230E,0.43,3.46,8.16,10.84
NJ232E,0.43,3.48,8.16,10.84
NJ234E,0.43,3.3,7.67,10.33
NJ236E,0.43,3.44,8.15,10.85
NJ238E,0.43,3.46,8.15,10.85
NJ240E,0.43,3.47,8.16,10.84
NJ2204,0.4,2.49,4.44,6.56
NJ2205,0.42,2.89,5.41,7.59
NJ2206,0.42,2.99,5.44,7.56
NJ2207,0.41,2.85,5.39,7.61
NJ2208,0.42,2.92,5.42,7.58
NJ2209,0.42,3.18,5.92,8.08
NJ2210,0.43,3.45,6.87,9.13
NJ2211,0.43,3.45,6.86,9.14
NJ2212,0.43,3.5,6.88,9.12
NJ2213,0.43,3.5,6.88,9.12
NJ2214,0.43,3.69,7.37,9.63
NJ2215,0.43,3.59,7.34,9.66
NJ2216,0.43,3.61,7.35,9.65
NJ2217,0.43,3.62,7.35,9.65
NJ2218,0.43,3.4,6.85,9.15
NJ2219,0.43,3.41,6.85,9.15
NJ2220,0.43,3.43,6.86,9.14
NJ2222,0.43,3.31,6.82,9.18
NJ2224,0.43,3.42,7.28,9.72
NJ2226,0.43,3.69,7.8,10.2
NJ2228,0.43,3.69,7.8,10.2
NJ2230,0.43,3.68,7.8,10.2
NJ2232,0.43,3.68,7.8,10.2
NJ2234,0.43,3.69,7.8,10.2
NJ2236,0.44,3.84,8.28,10.72
NJ2238,0.44,3.83,8.28,10.72
NJ2240,0.44,3.83,8.28,10.72
NJ2244,0.44,3.81,8.27,10.73
NJ2248,0.43,3.71,8.24,10.76
NJ2252,0.43,3.63,8.22,10.78
NJ2260,0.43,3.68,8.23,10.77
NJ2264,0.43,3.68,8.23,10.77
NJ2204E,0.39,2.16,4.29,6.71
NJ2205E,0.4,2.51,5.25,7.75
NJ2206E,0.4,2.49,5.24,7.76
NJ2207E,0.41,2.61,5.71,8.29
NJ2208E,0.41,2.66,5.73,8.27
NJ2209E,0.42,2.89,6.24,8.76
NJ2210E,0.42,3.13,6.75,9.25
NJ2211E,0.42,3.18,6.77,9.23
NJ2212E,0.42,2.99,6.7,9.3
NJ2213E,0.42,3.04,6.72,9.28
NJ2214E,0.42,3.21,7.21,9.79
NJ2215E,0.43,3.38,7.7,10.3
NJ2216E,0.43,3.41,7.71,10.29
NJ2217E,0.42,3.22,7.21,9.79
